Wavelength (nm), Intensity (a.u.)
561.380,2.2248e-03
561.390,2.2209e-03
561.400,2.2170e-03
561.410,2.2131e-03
561.420,2.2093e-03
561.430,2.2055e-03
561.440,2.2017e-03
561.450,2.1979e-03
561.460,2.1942e-03
561.470,2.1904e-03
561.480,2.1867e-03
561.490,2.1831e-03
561.500,2.1794e-03
561.510,2.1758e-03
561.520,2.1722e-03
561.530,2.1687e-03
561.540,2.1651e-03
561.550,2.1616e-03
561.560,2.1581e-03
561.570,2.1546e-03
561.580,2.1512e-03
561.590,2.1478e-03
561.600,2.1444e-03
561.610,2.1410e-03
561.620,2.1377e-03
561.630,2.1343e-03
561.640,2.1310e-03
561.650,2.1278e-03
561.660,2.1245e-03
561.670,2.1213e-03
561.680,2.1181e-03
561.690,2.1149e-03
561.700,2.1117e-03
561.710,2.1086e-03
561.720,2.1055e-03
561.730,2.1024e-03
561.740,2.0993e-03
561.750,2.0963e-03
561.760,2.0933e-03
561.770,2.0903e-03
561.780,2.0873e-03
561.790,2.0843e-03
561.800,2.0814e-03
561.810,2.0785e-03
561.820,2.0756e-03
561.830,2.0727e-03
561.840,2.0699e-03
561.850,2.0671e-03
561.860,2.0643e-03
561.870,2.0615e-03
561.880,2.0588e-03
561.890,2.0560e-03
561.900,2.0533e-03
561.910,2.0506e-03
561.920,2.0480e-03
561.930,2.0453e-03
561.940,2.0427e-03
561.950,2.0401e-03
561.960,2.0375e-03
561.970,2.0350e-03
561.980,2.0324e-03
561.990,2.0299e-03
562.000,2.0274e-03
562.010,2.0249e-03
562.020,2.0225e-03
562.030,2.0201e-03
562.040,2.0177e-03
562.050,2.0153e-03
562.060,2.0129e-03
562.070,2.0106e-03
562.080,2.0082e-03
562.090,2.0059e-03
562.100,2.0036e-03
562.110,2.0014e-03
562.120,1.9991e-03
562.130,1.9969e-03
562.140,1.9947e-03
562.150,1.9925e-03
562.160,1.9904e-03
562.170,1.9882e-03
562.180,1.9861e-03
562.190,1.9840e-03
562.200,1.9819e-03
562.210,1.9799e-03
562.220,1.9778e-03
562.230,1.9758e-03
562.240,1.9738e-03
562.250,1.9718e-03
562.260,1.9699e-03
562.270,1.9680e-03
562.280,1.9660e-03
562.290,1.9641e-03
562.300,1.9623e-03
562.310,1.9604e-03
562.320,1.9586e-03
562.330,1.9568e-03
562.340,1.9550e-03
562.350,1.9532e-03
562.360,1.9514e-03
562.370,1.9497e-03
562.380,1.9480e-03
562.390,1.9463e-03
562.400,1.9446e-03
562.410,1.9429e-03
562.420,1.9413e-03
562.430,1.9397e-03
562.440,1.9381e-03
562.450,1.9365e-03
562.460,1.9349e-03
562.470,1.9334e-03
562.480,1.9319e-03
562.490,1.9304e-03
562.500,1.9289e-03
562.510,1.9274e-03
562.520,1.9260e-03
562.530,1.9245e-03
562.540,1.9231e-03
562.550,1.9218e-03
562.560,1.9204e-03
562.570,1.9190e-03
562.580,1.9177e-03
562.590,1.9164e-03
562.600,1.9151e-03
562.610,1.9138e-03
562.620,1.9126e-03
562.630,1.9114e-03
562.640,1.9102e-03
562.650,1.9090e-03
562.660,1.9078e-03
562.670,1.9066e-03
562.680,1.9055e-03
562.690,1.9044e-03
562.700,1.9033e-03
562.710,1.9022e-03
562.720,1.9012e-03
562.730,1.9001e-03
562.740,1.8991e-03
562.750,1.8981e-03
562.760,1.8971e-03
562.770,1.8962e-03
562.780,1.8952e-03
562.790,1.8943e-03
562.800,1.8934e-03
562.810,1.8925e-03
562.820,1.8916e-03
562.830,1.8908e-03
562.840,1.8900e-03
562.850,1.8892e-03
562.860,1.8884e-03
562.870,1.8876e-03
562.880,1.8869e-03
562.890,1.8861e-03
562.900,1.8854e-03
562.910,1.8847e-03
562.920,1.8840e-03
562.930,1.8834e-03
562.940,1.8828e-03
562.950,1.8821e-03
562.960,1.8816e-03
562.970,1.8810e-03
562.980,1.8804e-03
562.990,1.8799e-03
563.000,1.8794e-03
563.010,1.8789e-03
563.020,1.8784e-03
563.030,1.8779e-03
563.040,1.8775e-03
563.050,1.8771e-03
563.060,1.8767e-03
563.070,1.8763e-03
563.080,1.8759e-03
563.090,1.8756e-03
563.100,1.8753e-03
563.110,1.8750e-03
563.120,1.8747e-03
563.130,1.8744e-03
563.140,1.8742e-03
563.150,1.8740e-03
563.160,1.8738e-03
563.170,1.8736e-03
563.180,1.8734e-03
563.190,1.8733e-03
563.200,1.8731e-03
563.210,1.8730e-03
563.220,1.8730e-03
563.230,1.8729e-03
563.240,1.8729e-03
563.250,1.8728e-03
563.260,1.8728e-03
563.270,1.8728e-03
563.280,1.8729e-03
563.290,1.8729e-03
563.300,1.8730e-03
563.310,1.8731e-03
563.320,1.8732e-03
563.330,1.8734e-03
563.340,1.8735e-03
563.350,1.8737e-03
563.360,1.8739e-03
563.370,1.8741e-03
563.380,1.8744e-03
563.390,1.8746e-03
563.400,1.8749e-03
563.410,1.8752e-03
563.420,1.8756e-03
563.430,1.8759e-03
563.440,1.8763e-03
563.450,1.8767e-03
563.460,1.8771e-03
563.470,1.8775e-03
563.480,1.8780e-03
563.490,1.8784e-03
563.500,1.8789e-03
563.510,1.8794e-03
563.520,1.8800e-03
563.530,1.8805e-03
563.540,1.8811e-03
563.550,1.8817e-03
563.560,1.8823e-03
563.570,1.8830e-03
563.580,1.8837e-03
563.590,1.8843e-03
563.600,1.8851e-03
563.610,1.8858e-03
563.620,1.8865e-03
563.630,1.8873e-03
563.640,1.8881e-03
563.650,1.8889e-03
563.660,1.8898e-03
563.670,1.8907e-03
563.680,1.8916e-03
563.690,1.8925e-03
563.700,1.8934e-03
563.710,1.8944e-03
563.720,1.8953e-03
563.730,1.8963e-03
563.740,1.8974e-03
563.750,1.8984e-03
563.760,1.8995e-03
563.770,1.9006e-03
563.780,1.9017e-03
563.790,1.9028e-03
563.800,1.9040e-03
563.810,1.9052e-03
563.820,1.9064e-03
563.830,1.9077e-03
563.840,1.9089e-03
563.850,1.9102e-03
563.860,1.9115e-03
563.870,1.9129e-03
563.880,1.9142e-03
563.890,1.9156e-03
563.900,1.9170e-03
563.910,1.9184e-03
563.920,1.9199e-03
563.930,1.9214e-03
563.940,1.9229e-03
563.950,1.9244e-03
563.960,1.9260e-03
563.970,1.9276e-03
563.980,1.9292e-03
563.990,1.9308e-03
564.000,1.9325e-03
564.010,1.9341e-03
564.020,1.9358e-03
564.030,1.9376e-03
564.040,1.9393e-03
564.050,1.9411e-03
564.060,1.9429e-03
564.070,1.9448e-03
564.080,1.9467e-03
564.090,1.9486e-03
564.100,1.9505e-03
564.110,1.9524e-03
564.120,1.9544e-03
564.130,1.9564e-03
564.140,1.9584e-03
564.150,1.9605e-03
564.160,1.9626e-03
564.170,1.9647e-03
564.180,1.9668e-03
564.190,1.9690e-03
564.200,1.9712e-03
564.210,1.9734e-03
564.220,1.9757e-03
564.230,1.9780e-03
564.240,1.9803e-03
564.250,1.9826e-03
564.260,1.9850e-03
564.270,1.9874e-03
564.280,1.9898e-03
564.290,1.9923e-03
564.300,1.9948e-03
564.310,1.9973e-03
564.320,1.9998e-03
564.330,2.0024e-03
564.340,2.0050e-03
564.350,2.0077e-03
564.360,2.0104e-03
564.370,2.0131e-03
564.380,2.0158e-03
564.390,2.0186e-03
564.400,2.0214e-03
564.410,2.0242e-03
564.420,2.0270e-03
564.430,2.0299e-03
564.440,2.0329e-03
564.450,2.0358e-03
564.460,2.0388e-03
564.470,2.0418e-03
564.480,2.0449e-03
564.490,2.0480e-03
564.500,2.0511e-03
564.510,2.0543e-03
564.520,2.0575e-03
564.530,2.0607e-03
564.540,2.0639e-03
564.550,2.0672e-03
564.560,2.0706e-03
564.570,2.0739e-03
564.580,2.0773e-03
564.590,2.0808e-03
564.600,2.0842e-03
564.610,2.0877e-03
564.620,2.0913e-03
564.630,2.0949e-03
564.640,2.0985e-03
564.650,2.1021e-03
564.660,2.1058e-03
564.670,2.1096e-03
564.680,2.1133e-03
564.690,2.1171e-03
564.700,2.1210e-03
564.710,2.1248e-03
564.720,2.1288e-03
564.730,2.1327e-03
564.740,2.1367e-03
564.750,2.1408e-03
564.760,2.1448e-03
564.770,2.1489e-03
564.780,2.1531e-03
564.790,2.1573e-03
564.800,2.1615e-03
564.810,2.1658e-03
564.820,2.1701e-03
564.830,2.1745e-03
564.840,2.1789e-03
564.850,2.1834e-03
564.860,2.1878e-03
564.870,2.1924e-03
564.880,2.1969e-03
564.890,2.2016e-03
564.900,2.2062e-03
564.910,2.2109e-03
564.920,2.2157e-03
564.930,2.2205e-03
564.940,2.2253e-03
564.950,2.2302e-03
564.960,2.2352e-03
564.970,2.2401e-03
564.980,2.2452e-03
564.990,2.2502e-03
565.000,2.2554e-03
565.010,2.2605e-03
565.020,2.2657e-03
565.030,2.2710e-03
565.040,2.2763e-03
565.050,2.2817e-03
565.060,2.2871e-03
565.070,2.2925e-03
565.080,2.2981e-03
565.090,2.3036e-03
565.100,2.3092e-03
565.110,2.3149e-03
565.120,2.3206e-03
565.130,2.3264e-03
565.140,2.3322e-03
565.150,2.3381e-03
565.160,2.3440e-03
565.170,2.3500e-03
565.180,2.3560e-03
565.190,2.3621e-03
565.200,2.3683e-03
565.210,2.3745e-03
565.220,2.3807e-03
565.230,2.3870e-03
565.240,2.3934e-03
565.250,2.3999e-03
565.260,2.4063e-03
565.270,2.4129e-03
565.280,2.4195e-03
565.290,2.4262e-03
565.300,2.4329e-03
565.310,2.4397e-03
565.320,2.4465e-03
565.330,2.4534e-03
565.340,2.4604e-03
565.350,2.4674e-03
565.360,2.4745e-03
565.370,2.4817e-03
565.380,2.4889e-03
565.390,2.4962e-03
565.400,2.5035e-03
565.410,2.5110e-03
565.420,2.5184e-03
565.430,2.5260e-03
565.440,2.5336e-03
565.450,2.5413e-03
565.460,2.5491e-03
565.470,2.5569e-03
565.480,2.5648e-03
565.490,2.5728e-03
565.500,2.5808e-03
565.510,2.5889e-03
565.520,2.5971e-03
565.530,2.6053e-03
565.540,2.6137e-03
565.550,2.6221e-03
565.560,2.6305e-03
565.570,2.6391e-03
565.580,2.6477e-03
565.590,2.6564e-03
565.600,2.6652e-03
565.610,2.6741e-03
565.620,2.6830e-03
565.630,2.6920e-03
565.640,2.7011e-03
565.650,2.7103e-03
565.660,2.7196e-03
565.670,2.7289e-03
565.680,2.7384e-03
565.690,2.7479e-03
565.700,2.7575e-03
565.710,2.7672e-03
565.720,2.7769e-03
565.730,2.7868e-03
565.740,2.7968e-03
565.750,2.8068e-03
565.760,2.8169e-03
565.770,2.8271e-03
565.780,2.8375e-03
565.790,2.8479e-03
565.800,2.8584e-03
565.810,2.8689e-03
565.820,2.8796e-03
565.830,2.8904e-03
565.840,2.9013e-03
565.850,2.9123e-03
565.860,2.9233e-03
565.870,2.9345e-03
565.880,2.9458e-03
565.890,2.9572e-03
565.900,2.9686e-03
565.910,2.9802e-03
565.920,2.9919e-03
565.930,3.0037e-03
565.940,3.0156e-03
565.950,3.0276e-03
565.960,3.0397e-03
565.970,3.0520e-03
565.980,3.0643e-03
565.990,3.0767e-03
566.000,3.0893e-03
566.010,3.1020e-03
566.020,3.1148e-03
566.030,3.1277e-03
566.040,3.1407e-03
566.050,3.1539e-03
566.060,3.1671e-03
566.070,3.1805e-03
566.080,3.1940e-03
566.090,3.2076e-03
566.100,3.2214e-03
566.110,3.2353e-03
566.120,3.2493e-03
566.130,3.2634e-03
566.140,3.2777e-03
566.150,3.2921e-03
566.160,3.3066e-03
566.170,3.3213e-03
566.180,3.3361e-03
566.190,3.3510e-03
566.200,3.3661e-03
566.210,3.3813e-03
566.220,3.3966e-03
566.230,3.4121e-03
566.240,3.4278e-03
566.250,3.4435e-03
566.260,3.4595e-03
566.270,3.4755e-03
566.280,3.4918e-03
566.290,3.5081e-03
566.300,3.5247e-03
566.310,3.5414e-03
566.320,3.5582e-03
566.330,3.5752e-03
566.340,3.5923e-03
566.350,3.6097e-03
566.360,3.6271e-03
566.370,3.6448e-03
566.380,3.6626e-03
566.390,3.6805e-03
566.400,3.6987e-03
566.410,3.7170e-03
566.420,3.7355e-03
566.430,3.7541e-03
566.440,3.7730e-03
566.450,3.7920e-03
566.460,3.8111e-03
566.470,3.8305e-03
566.480,3.8501e-03
566.490,3.8698e-03
566.500,3.8897e-03
566.510,3.9098e-03
566.520,3.9301e-03
566.530,3.9506e-03
566.540,3.9713e-03
566.550,3.9922e-03
566.560,4.0133e-03
566.570,4.0346e-03
566.580,4.0561e-03
566.590,4.0778e-03
566.600,4.0997e-03
566.610,4.1218e-03
566.620,4.1441e-03
566.630,4.1666e-03
566.640,4.1894e-03
566.650,4.2123e-03
566.660,4.2355e-03
566.670,4.2589e-03
566.680,4.2826e-03
566.690,4.3064e-03
566.700,4.3305e-03
566.710,4.3549e-03
566.720,4.3794e-03
566.730,4.4042e-03
566.740,4.4292e-03
566.750,4.4545e-03
566.760,4.4800e-03
566.770,4.5058e-03
566.780,4.5318e-03
566.790,4.5581e-03
566.800,4.5846e-03
566.810,4.6113e-03
566.820,4.6384e-03
566.830,4.6657e-03
566.840,4.6932e-03
566.850,4.7210e-03
566.860,4.7491e-03
566.870,4.7775e-03
566.880,4.8061e-03
566.890,4.8351e-03
566.900,4.8643e-03
566.910,4.8937e-03
566.920,4.9235e-03
566.930,4.9536e-03
566.940,4.9839e-03
566.950,5.0145e-03
566.960,5.0455e-03
566.970,5.0767e-03
566.980,5.1082e-03
566.990,5.1401e-03
567.000,5.1722e-03
567.010,5.2047e-03
567.020,5.2375e-03
567.030,5.2706e-03
567.040,5.3040e-03
567.050,5.3377e-03
567.060,5.3718e-03
567.070,5.4062e-03
567.080,5.4409e-03
567.090,5.4760e-03
567.100,5.5114e-03
567.110,5.5471e-03
567.120,5.5832e-03
567.130,5.6196e-03
567.140,5.6564e-03
567.150,5.6935e-03
567.160,5.7310e-03
567.170,5.7688e-03
567.180,5.8070e-03
567.190,5.8456e-03
567.200,5.8846e-03
567.210,5.9239e-03
567.220,5.9636e-03
567.230,6.0036e-03
567.240,6.0441e-03
567.250,6.0849e-03
567.260,6.1261e-03
567.270,6.1677e-03
567.280,6.2097e-03
567.290,6.2520e-03
567.300,6.2948e-03
567.310,6.3380e-03
567.320,6.3816e-03
567.330,6.4256e-03
567.340,6.4699e-03
567.350,6.5147e-03
567.360,6.5600e-03
567.370,6.6056e-03
567.380,6.6516e-03
567.390,6.6981e-03
567.400,6.7450e-03
567.410,6.7923e-03
567.420,6.8400e-03
567.430,6.8882e-03
567.440,6.9368e-03
567.450,6.9858e-03
567.460,7.0353e-03
567.470,7.0852e-03
567.480,7.1355e-03
567.490,7.1863e-03
567.500,7.2375e-03
567.510,7.2892e-03
567.520,7.3413e-03
567.530,7.3938e-03
567.540,7.4468e-03
567.550,7.5002e-03
567.560,7.5541e-03
567.570,7.6085e-03
567.580,7.6632e-03
567.590,7.7185e-03
567.600,7.7742e-03
567.610,7.8303e-03
567.620,7.8869e-03
567.630,7.9439e-03
567.640,8.0014e-03
567.650,8.0593e-03
567.660,8.1177e-03
567.670,8.1765e-03
567.680,8.2357e-03
567.690,8.2954e-03
567.700,8.3556e-03
567.710,8.4161e-03
567.720,8.4772e-03
567.730,8.5386e-03
567.740,8.6005e-03
567.750,8.6628e-03
567.760,8.7255e-03
567.770,8.7887e-03
567.780,8.8522e-03
567.790,8.9162e-03
567.800,8.9806e-03
567.810,9.0454e-03
567.820,9.1105e-03
567.830,9.1761e-03
567.840,9.2421e-03
567.850,9.3084e-03
567.860,9.3751e-03
567.870,9.4422e-03
567.880,9.5096e-03
567.890,9.5774e-03
567.900,9.6455e-03
567.910,9.7140e-03
567.920,9.7827e-03
567.930,9.8518e-03
567.940,9.9212e-03
567.950,9.9909e-03
567.960,1.0061e-02
567.970,1.0131e-02
567.980,1.0202e-02
567.990,1.0272e-02
568.000,1.0343e-02
568.010,1.0414e-02
568.020,1.0486e-02
568.030,1.0557e-02
568.040,1.0629e-02
568.050,1.0701e-02
568.060,1.0773e-02
568.070,1.0845e-02
568.080,1.0918e-02
568.090,1.0990e-02
568.100,1.1062e-02
568.110,1.1135e-02
568.120,1.1207e-02
568.130,1.1280e-02
568.140,1.1352e-02
568.150,1.1425e-02
568.160,1.1497e-02
568.170,1.1570e-02
568.180,1.1642e-02
568.190,1.1714e-02
568.200,1.1786e-02
568.210,1.1858e-02
568.220,1.1930e-02
568.230,1.2001e-02
568.240,1.2072e-02
568.250,1.2143e-02
568.260,1.2214e-02
568.270,1.2284e-02
568.280,1.2354e-02
568.290,1.2423e-02
568.300,1.2493e-02
568.310,1.2561e-02
568.320,1.2629e-02
568.330,1.2697e-02
568.340,1.2764e-02
568.350,1.2831e-02
568.360,1.2897e-02
568.370,1.2962e-02
568.380,1.3027e-02
568.390,1.3091e-02
568.400,1.3154e-02
568.410,1.3217e-02
568.420,1.3279e-02
568.430,1.3340e-02
568.440,1.3400e-02
568.450,1.3459e-02
568.460,1.3517e-02
568.470,1.3575e-02
568.480,1.3631e-02
568.490,1.3686e-02
568.500,1.3740e-02
568.510,1.3794e-02
568.520,1.3846e-02
568.530,1.3897e-02
568.540,1.3946e-02
568.550,1.3995e-02
568.560,1.4042e-02
568.570,1.4088e-02
568.580,1.4133e-02
568.590,1.4177e-02
568.600,1.4219e-02
568.610,1.4260e-02
568.620,1.4299e-02
568.630,1.4337e-02
568.640,1.4373e-02
568.650,1.4408e-02
568.660,1.4442e-02
568.670,1.4474e-02
568.680,1.4504e-02
568.690,1.4533e-02
568.700,1.4560e-02
568.710,1.4586e-02
568.720,1.4610e-02
568.730,1.4633e-02
568.740,1.4653e-02
568.750,1.4673e-02
568.760,1.4690e-02
568.770,1.4706e-02
568.780,1.4720e-02
568.790,1.4732e-02
568.800,1.4743e-02
568.810,1.4752e-02
568.820,1.4759e-02
568.830,1.4765e-02
568.840,1.4769e-02
568.850,1.4771e-02
568.860,1.4771e-02
568.870,1.4770e-02
568.880,1.4767e-02
568.890,1.4762e-02
568.900,1.4755e-02
568.910,1.4747e-02
568.920,1.4737e-02
568.930,1.4726e-02
568.940,1.4712e-02
568.950,1.4698e-02
568.960,1.4681e-02
568.970,1.4663e-02
568.980,1.4643e-02
568.990,1.4622e-02
569.000,1.4599e-02
569.010,1.4574e-02
569.020,1.4548e-02
569.030,1.4521e-02
569.040,1.4492e-02
569.050,1.4462e-02
569.060,1.4430e-02
569.070,1.4396e-02
569.080,1.4362e-02
569.090,1.4326e-02
569.100,1.4288e-02
569.110,1.4249e-02
569.120,1.4210e-02
569.130,1.4168e-02
569.140,1.4126e-02
569.150,1.4082e-02
569.160,1.4037e-02
569.170,1.3992e-02
569.180,1.3945e-02
569.190,1.3897e-02
569.200,1.3847e-02
569.210,1.3797e-02
569.220,1.3746e-02
569.230,1.3694e-02
569.240,1.3642e-02
569.250,1.3588e-02
569.260,1.3533e-02
569.270,1.3478e-02
569.280,1.3422e-02
569.290,1.3365e-02
569.300,1.3307e-02
569.310,1.3249e-02
569.320,1.3190e-02
569.330,1.3131e-02
569.340,1.3071e-02
569.350,1.3011e-02
569.360,1.2949e-02
569.370,1.2888e-02
569.380,1.2826e-02
569.390,1.2764e-02
569.400,1.2701e-02
569.410,1.2638e-02
569.420,1.2574e-02
569.430,1.2511e-02
569.440,1.2447e-02
569.450,1.2382e-02
569.460,1.2318e-02
569.470,1.2253e-02
569.480,1.2189e-02
569.490,1.2124e-02
569.500,1.2059e-02
569.510,1.1994e-02
569.520,1.1928e-02
569.530,1.1863e-02
569.540,1.1798e-02
569.550,1.1733e-02
569.560,1.1668e-02
569.570,1.1603e-02
569.580,1.1538e-02
569.590,1.1473e-02
569.600,1.1408e-02
569.610,1.1343e-02
569.620,1.1278e-02
569.630,1.1214e-02
569.640,1.1150e-02
569.650,1.1086e-02
569.660,1.1022e-02
569.670,1.0959e-02
569.680,1.0895e-02
569.690,1.0832e-02
569.700,1.0770e-02
569.710,1.0707e-02
569.720,1.0645e-02
569.730,1.0583e-02
569.740,1.0522e-02
569.750,1.0460e-02
569.760,1.0400e-02
569.770,1.0339e-02
569.780,1.0279e-02
569.790,1.0219e-02
569.800,1.0160e-02
569.810,1.0101e-02
569.820,1.0043e-02
569.830,9.9845e-03
569.840,9.9268e-03
569.850,9.8696e-03
569.860,9.8128e-03
569.870,9.7564e-03
569.880,9.7005e-03
569.890,9.6450e-03
569.900,9.5900e-03
569.910,9.5354e-03
569.920,9.4813e-03
569.930,9.4277e-03
569.940,9.3745e-03
569.950,9.3218e-03
569.960,9.2696e-03
569.970,9.2179e-03
569.980,9.1667e-03
569.990,9.1159e-03
570.000,9.0657e-03
570.010,9.0159e-03
570.020,8.9666e-03
570.030,8.9178e-03
570.040,8.8695e-03
570.050,8.8217e-03
570.060,8.7744e-03
570.070,8.7276e-03
570.080,8.6812e-03
570.090,8.6354e-03
570.100,8.5900e-03
570.110,8.5451e-03
570.120,8.5008e-03
570.130,8.4569e-03
570.140,8.4134e-03
570.150,8.3705e-03
570.160,8.3281e-03
570.170,8.2861e-03
570.180,8.2446e-03
570.190,8.2036e-03
570.200,8.1630e-03
570.210,8.1229e-03
570.220,8.0833e-03
570.230,8.0441e-03
570.240,8.0054e-03
570.250,7.9672e-03
570.260,7.9294e-03
570.270,7.8920e-03
570.280,7.8551e-03
570.290,7.8186e-03
570.300,7.7826e-03
570.310,7.7469e-03
570.320,7.7117e-03
570.330,7.6770e-03
570.340,7.6426e-03
570.350,7.6087e-03
570.360,7.5751e-03
570.370,7.5420e-03
570.380,7.5092e-03
570.390,7.4768e-03
570.400,7.4448e-03
570.410,7.4132e-03
570.420,7.3820e-03
570.430,7.3511e-03
570.440,7.3206e-03
570.450,7.2905e-03
570.460,7.2606e-03
570.470,7.2312e-03
570.480,7.2020e-03
570.490,7.1732e-03
570.500,7.1447e-03
570.510,7.1166e-03
570.520,7.0887e-03
570.530,7.0612e-03
570.540,7.0339e-03
570.550,7.0069e-03
570.560,6.9802e-03
570.570,6.9538e-03
570.580,6.9277e-03
570.590,6.9018e-03
570.600,6.8762e-03
570.610,6.8508e-03
570.620,6.8257e-03
570.630,6.8008e-03
570.640,6.7761e-03
570.650,6.7517e-03
570.660,6.7274e-03
570.670,6.7034e-03
570.680,6.6796e-03
570.690,6.6560e-03
570.700,6.6325e-03
570.710,6.6093e-03
570.720,6.5862e-03
570.730,6.5633e-03
570.740,6.5405e-03
570.750,6.5179e-03
570.760,6.4955e-03
570.770,6.4731e-03
570.780,6.4510e-03
570.790,6.4289e-03
570.800,6.4070e-03
570.810,6.3852e-03
570.820,6.3635e-03
570.830,6.3419e-03
570.840,6.3204e-03
570.850,6.2990e-03
570.860,6.2777e-03
570.870,6.2565e-03
570.880,6.2353e-03
570.890,6.2142e-03
570.900,6.1932e-03
570.910,6.1723e-03
570.920,6.1514e-03
570.930,6.1306e-03
570.940,6.1098e-03
570.950,6.0891e-03
570.960,6.0684e-03
570.970,6.0477e-03
570.980,6.0271e-03
570.990,6.0065e-03
571.000,5.9859e-03
571.010,5.9654e-03
571.020,5.9449e-03
571.030,5.9244e-03
571.040,5.9039e-03
571.050,5.8835e-03
571.060,5.8630e-03
571.070,5.8426e-03
571.080,5.8222e-03
571.090,5.8018e-03
571.100,5.7813e-03
571.110,5.7609e-03
571.120,5.7405e-03
571.130,5.7201e-03
571.140,5.6997e-03
571.150,5.6794e-03
571.160,5.6590e-03
571.170,5.6386e-03
571.180,5.6182e-03
571.190,5.5978e-03
571.200,5.5774e-03
571.210,5.5571e-03
571.220,5.5367e-03
571.230,5.5163e-03
571.240,5.4960e-03
571.250,5.4756e-03
571.260,5.4553e-03
571.270,5.4349e-03
571.280,5.4146e-03
571.290,5.3943e-03
571.300,5.3740e-03
571.310,5.3538e-03
571.320,5.3335e-03
571.330,5.3133e-03
571.340,5.2931e-03
571.350,5.2729e-03
571.360,5.2528e-03
571.370,5.2327e-03
571.380,5.2126e-03
571.390,5.1925e-03
571.400,5.1725e-03
571.410,5.1526e-03
571.420,5.1326e-03
571.430,5.1128e-03
571.440,5.0929e-03
571.450,5.0732e-03
571.460,5.0535e-03
571.470,5.0338e-03
571.480,5.0142e-03
571.490,4.9947e-03
571.500,4.9752e-03
571.510,4.9559e-03
571.520,4.9366e-03
571.530,4.9173e-03
571.540,4.8982e-03
571.550,4.8791e-03
571.560,4.8601e-03
571.570,4.8412e-03
571.580,4.8224e-03
571.590,4.8037e-03
571.600,4.7851e-03
571.610,4.7666e-03
571.620,4.7482e-03
571.630,4.7299e-03
571.640,4.7117e-03
571.650,4.6936e-03
571.660,4.6756e-03
571.670,4.6578e-03
571.680,4.6400e-03
571.690,4.6224e-03
571.700,4.6049e-03
571.710,4.5876e-03
571.720,4.5703e-03
571.730,4.5532e-03
571.740,4.5363e-03
571.750,4.5194e-03
571.760,4.5027e-03
571.770,4.4862e-03
571.780,4.4698e-03
571.790,4.4535e-03
571.800,4.4374e-03
571.810,4.4214e-03
571.820,4.4055e-03
571.830,4.3898e-03
571.840,4.3743e-03
571.850,4.3589e-03
571.860,4.3437e-03
571.870,4.3286e-03
571.880,4.3137e-03
571.890,4.2990e-03
571.900,4.2844e-03
571.910,4.2699e-03
571.920,4.2557e-03
571.930,4.2416e-03
571.940,4.2276e-03
571.950,4.2138e-03
571.960,4.2002e-03
571.970,4.1868e-03
571.980,4.1735e-03
571.990,4.1604e-03
572.000,4.1475e-03
572.010,4.1347e-03
572.020,4.1221e-03
572.030,4.1097e-03
572.040,4.0975e-03
572.050,4.0854e-03
572.060,4.0735e-03
572.070,4.0617e-03
572.080,4.0502e-03
572.090,4.0388e-03
572.100,4.0276e-03
572.110,4.0166e-03
572.120,4.0057e-03
572.130,3.9951e-03
572.140,3.9846e-03
572.150,3.9742e-03
572.160,3.9641e-03
572.170,3.9541e-03
572.180,3.9443e-03
572.190,3.9347e-03
572.200,3.9253e-03
572.210,3.9160e-03
572.220,3.9069e-03
572.230,3.8980e-03
572.240,3.8893e-03
572.250,3.8807e-03
572.260,3.8723e-03
572.270,3.8641e-03
572.280,3.8561e-03
572.290,3.8482e-03
572.300,3.8406e-03
572.310,3.8331e-03
572.320,3.8257e-03
572.330,3.8186e-03
572.340,3.8116e-03
572.350,3.8047e-03
572.360,3.7981e-03
572.370,3.7916e-03
572.380,3.7853e-03
572.390,3.7792e-03
572.400,3.7732e-03
572.410,3.7674e-03
572.420,3.7618e-03
572.430,3.7563e-03
572.440,3.7510e-03
572.450,3.7459e-03
572.460,3.7409e-03
572.470,3.7361e-03
572.480,3.7315e-03
572.490,3.7270e-03
572.500,3.7227e-03
572.510,3.7186e-03
572.520,3.7146e-03
572.530,3.7107e-03
572.540,3.7070e-03
572.550,3.7035e-03
572.560,3.7001e-03
572.570,3.6969e-03
572.580,3.6939e-03
572.590,3.6909e-03
572.600,3.6882e-03
572.610,3.6856e-03
572.620,3.6831e-03
572.630,3.6807e-03
572.640,3.6786e-03
572.650,3.6765e-03
572.660,3.6746e-03
572.670,3.6729e-03
572.680,3.6712e-03
572.690,3.6697e-03
572.700,3.6684e-03
572.710,3.6671e-03
572.720,3.6660e-03
572.730,3.6651e-03
572.740,3.6642e-03
572.750,3.6635e-03
572.760,3.6629e-03
572.770,3.6624e-03
572.780,3.6620e-03
572.790,3.6618e-03
572.800,3.6616e-03
572.810,3.6616e-03
572.820,3.6617e-03
572.830,3.6619e-03
572.840,3.6622e-03
572.850,3.6625e-03
572.860,3.6630e-03
572.870,3.6636e-03
572.880,3.6642e-03
572.890,3.6650e-03
572.900,3.6658e-03
572.910,3.6667e-03
572.920,3.6677e-03
572.930,3.6688e-03
572.940,3.6699e-03
572.950,3.6712e-03
572.960,3.6724e-03
572.970,3.6738e-03
572.980,3.6752e-03
572.990,3.6766e-03
573.000,3.6781e-03
573.010,3.6797e-03
573.020,3.6813e-03
